ID,Category,Question,Option A,Option B,Option C,Option D,Answer
1,Category A,Question 1 Category A?,Option A,Option B,Option C,Option D,1
2,Category A,Question 2 Category A?,Option A,Option B,Option C,,2
3,Category B,Question 1 Category B?,Option A,Option B,Option C,Option D,3
4,Category A,Question 3 Category A?,Option A,Option B,Option C,,3
5,Category A,Question 4 Category A?,Option A,Option B,Option C,Option D,1
6,Category B,Question 2 Category B?,Option A,Option B,Option C,Option D,2
7,Category C,Question 1 Category C?,Option A,Option B,Option C,,1
8,Category C,Question 2 Category C?,Option A,Option B,Option C,Option D,4
9,Category C,Question 3 Category C?,Option A,Option B,Option C,Option D,1
10,Category B,Question 3 Category B?,Option A,Option B,Option C,,2
11,Category B,Question 4 Category B?,Option A,Option B,Option C,Option D,3
12,Category D,Question 1 Category D?,Option A,Option B,Option C,Option D,4
13,Category D,Question 2 Category D?,Option A,Option B,Option C,Option D,1
14,Category D,Question 3 Category D?,Option A,Option B,Option C,,2
15,Category D,Question 4 Category D?,Option A,Option B,Option C,Option D,3
16,Category E,Question 1 Category E?,Option A,Option B,Option C,Option D,4
17,Category E,Question 2 Category E?,Option A,Option B,Option C,Option D,1
18,Category F,Question 1 Category F?,Option A,Option B,Option C,,2
19,Category F,Question 2 Category F?,Option A,Option B,Option C,Option D,3
20,Category E,Question 3 Category E?,Option A,Option B,Option C,Option D,4
21,Category F,Question 3 Category F?,Option A,Option B,Option C,Option D,1
22,Category G,Question 1 Category G?,Option A,Option B,Option C,,2
23,Category G,Question 2 Category G?,Option A,Option B,Option C,Option D,3
24,Category G,Question 3 Category G?,Option A,Option B,Option C,Option D,4
25,Category H,Question 1 Category H?,Option A,Option B,Option C,Option D,1
26,Category H,Question 2 Category H?,Option A,Option B,Option C,,2
27,Category H,Question 3 Category H?,Option A,Option B,Option C,Option D,3
28,Category I,Question 1 Category I?,Option A,Option B,Option C,Option D,4
29,Category I,Question 2 Category I?,Option A,Option B,Option C,Option D,1
30,Category I,Question 3 Category I?,Option A,Option B,Option C,Option D,2
31,Category J,Question 1 Category J?,Option A,Option B,Option C,,3
32,Category J,Question 2 Category J?,Option A,Option B,Option C,Option D,4
33,Category J,Question 3 Category J?,Option A,Option B,Option C,Option D,1
34,Category K,Question 1 Category K?,Option A,Option B,Option C,Option D,2
35,Category K,Question 2 Category K?,Option A,Option B,Option C,,3
36,Category K,Question 3 Category K?,Option A,Option B,Option C,Option D,4
37,Category L,Question 1 Category L?,Option A,Option B,Option C,Option D,1
38,Category L,Question 2 Category L?,Option A,Option B,Option C,,2
39,Category L,Question 3 Category L?,Option A,Option B,Option C,Option D,3
40,Category M,Question 1 Category M?,Option A,Option B,Option C,Option D,1
41,Category M,Question 2 Category M?,Option A,Option B,Option C,,2
42,Category M,Question 3 Category M?,Option A,Option B,Option C,Option D,3
